,id,uptime,ifans,gender,num_fans,fans_cat,num_videos,num_charge,av_coin,av_danmu,av_star,av_like,av_play,av_comment,av_share
183,421600116,2022-11-26,9.27,False,48700,0,579,0,0,0,8,41,1890,1,3
184,23709891,2022-11-24,5.99,False,99300,0,92,59,2288,336,7256,21800,140000,212,1373
185,40272185,2021-06-21,3.65,True,44500,0,487,599,95,0,461,187,11299,43,26
186,39065580,2022-09-03,3.6,True,26600,0,380,13,3425,1302,4241,10200,208200,578,820
187,16364623,2022-11-30,8.42,False,91300,0,968,3869,1498,695,345,3479,65800,156,66
188,490770956,2020-10-03,6.33,False,41600,0,1340,3,2,2,18,79,3687,6,10
189,1795496001,2022-10-06,3.48,False,19100,0,212,4,37,17,256,6824,156400,92,165
190,16758145,2022-11-28,4.42,True,69800,0,470,51,5,0,18,114,3230,3,6
191,25006545,2017-05-28,3.96,True,94200,0,3233,27,118,184,775,99,27300,88,223
192,145186620,2022-12-01,3.39,True,72200,0,378,3,12,9,44,1902,45700,24,15
193,326115,2022-05-27,3.55,False,72400,0,122,326,13,26,14,200,2189,10,4
194,40214206,2022-11-25,3.83,False,91000,0,77,81,2087,123,2557,10300,269000,181,1062
195,238547115,2022-12-01,3.83,True,80700,0,647,1336,62,15,171,768,5011,45,69
196,321490082,2022-12-01,3.55,True,28300,0,1007,7,25,9,554,703,14300,28,18
197,11758387,2021-12-08,3.79,False,94600,0,61,446,1158,106,1576,3337,70300,151,301
198,358719077,2020-08-10,5.44,True,8720,0,2306,0,0,0,117,135,15,0,0
199,5870073,2022-11-20,4.71,False,91600,0,584,2937,276,71,75,409,4307,29,5
200,92088168,2022-11-21,3.58,False,92300,0,1315,150,53,41,164,1944,28700,108,108
201,539833776,2022-12-01,6.24,True,64900,0,438,1,88,94,2055,362,49600,22,2
202,2528735,2022-11-22,3.79,False,97700,0,35,2670,2130,236,1981,4774,107000,205,162
203,942357,2022-12-01,6.8,False,67500,0,3583,0,38,16,265,762,3473,26,22
204,834635,2022-11-09,5.2,False,78500,0,42,83,4916,738,6012,21300,370700,518,6674
205,22383629,2022-11-14,4.08,False,30600,0,119,6,4,1,27,125,6078,9,21
206,666624001,2022-12-01,5.1,True,61500,0,1878,12,4,0,39,711,18400,116,105
207,13668314,2022-09-16,3.46,False,88300,0,934,0,238,158,396,1687,10700,96,64
208,22813930,2022-09-30,5.13,True,64300,0,226,15,81,39,804,5252,50000,46,141
209,109704610,2022-11-30,3.89,True,48600,0,1833,1124,187,82,29,698,7346,56,11
210,72238950,2022-05-21,3.56,False,84400,0,91,58,689,77,4047,5250,1014100,35,275
211,13479602,2022-11-28,4.73,True,47600,0,237,5,64,209,773,8490,178000,136,53
212,180765137,2022-11-28,4.38,True,62600,0,543,124,80,108,92,689,18000,75,26
213,2837536,2022-07-08,3.48,True,97700,0,135,0,543,131,973,3517,64800,162,284
214,382438063,2022-08-30,5.51,False,29000,0,491,2,1,1,8,85,6652,12,29
215,7374387,2022-11-26,4.65,True,69200,0,295,173,137,122,612,1184,16600,76,75
216,473015870,2022-12-01,6.88,False,33800,0,451,5193,1207,10,97,875,10300,37,10
217,474572699,2022-11-29,4.84,True,32500,0,431,12,21,38,520,456,29000,62,29
218,624871742,2022-11-29,3.54,True,23200,0,140,2,151,100,1773,8017,175799,90,73
219,19553445,2022-12-01,9.04,False,57400,0,3462,3930,227,92,666,985,17100,106,273
220,60026287,2022-12-01,5.63,False,74400,0,191,3,17,41,234,1738,41500,92,170
221,520080678,2022-11-26,3.98,False,62900,0,148,7,20,9,282,178,6768,15,6
222,397314344,2022-12-01,9.49,True,35600,0,425,1,42,18,670,13400,127600,35,257
223,26051764,2022-12-01,10.52,True,35600,0,974,0,0,0,1,6,171,1,0
224,8537538,2022-11-18,4.2,False,69400,0,448,319,22,2,164,491,1768,17,7
225,400332033,2022-11-18,3.62,False,68700,0,127,0,148,10,369,641,6976,27,36
226,1827331465,2022-12-01,4.49,False,58000,0,347,7,108,167,1953,5248,234800,259,292
227,25048847,2022-11-27,4.41,False,90600,0,158,37,5012,443,4470,22799,339200,561,2444
228,66629390,2020-03-07,3.95,True,44500,0,65,3439,38,7,24,591,3030,21,5
229,236870833,2022-11-15,4.97,True,80900,0,298,85,333,181,1988,4691,196400,185,320
230,33871112,2022-11-18,3.66,False,64200,0,482,94,145,17,297,1384,15200,77,107
231,478082943,2022-12-01,3.42,False,98400,0,753,722,344,224,164,1911,27900,76,32
232,49839041,2022-11-30,3.44,False,69900,0,1066,576,356,209,67,711,32400,88,136
233,482511054,2022-11-11,5.23,True,58900,0,79,21,154,109,791,3679,64300,142,391
234,455777640,2022-08-16,3.38,False,40100,0,0,0,1952,78,180,2599,16400,69,5
235,39772679,2022-05-28,4.67,True,43200,0,328,3,291,72,1149,1974,21800,54,64
236,226647508,2022-11-11,3.81,False,17800,0,333,0,6,1,47,112,6506,18,197
237,2068808,2022-11-28,3.97,True,15300,0,104,0,1160,170,10900,25299,151700,392,1666
238,481099232,2022-11-28,3.76,False,85900,0,144,248,114,39,630,1772,41800,132,135
239,19022637,2022-07-09,3.55,True,55500,0,137,78,1908,461,3183,17800,390200,634,1413
240,420689937,2021-01-29,3.45,False,50100,0,20,37,14400,474,5823,23100,288000,309,369
241,22065421,2022-11-23,3.32,False,47000,0,76,153,191,30,1886,1662,9513,54,34
242,106202329,2022-11-12,4.15,False,80200,0,160,219,20,1,11,106,1444,25,6
243,424144,2022-11-29,3.57,True,94400,0,313,323,3023,230,2915,9562,125000,384,2432
244,58664,2022-11-23,5.29,False,80000,0,1502,2798,39,65,14,165,1850,19,2
245,4990887,2022-02-17,5.2,False,89800,0,34,1618,43000,34900,25099,40300,312600,22400,6780
246,470629446,2022-09-01,7.44,False,93500,0,66,92,59800,5931,85700,105300,1665400,900,6840
247,28717712,2022-11-30,8.26,True,84400,0,392,26,153,168,1010,9352,310200,241,82
248,6597781,2022-12-01,4.18,False,88600,0,6279,69,0,0,2,32,151,1,0
249,22703426,2022-08-29,4.03,False,84800,0,2137,46,16,19,88,174,5579,34,28
250,15717030,2022-11-28,9.41,False,461400,1,702,1184,330,272,767,21900,399799,1237,1239
251,22430711,2022-11-25,12.55,False,427000,1,2535,194,35,94,442,700,34200,17,22
252,19432127,2022-12-02,9.62,False,190799,1,6627,15,6,4,19,184,3154,24,33
253,472102908,2022-11-08,9.63,False,492100,1,428,0,89,8,441,2852,35000,54,63
254,622863,2022-11-19,9.99,True,497500,1,294,1590,357,117,1791,2408,35100,64,50
255,1599822,2022-11-05,10.34,False,336500,1,135,653,5737,472,3897,19000,281300,1210,2711
256,8981370,2022-08-31,12.84,False,292800,1,77,3334,62699,5474,32700,115700,1475500,2816,24800
257,9275129,2022-11-25,10.14,True,420700,1,179,103,805,405,2414,2588,53700,188,544
258,25911961,2022-11-21,14.02,False,317100,1,199,394,1547,311,2617,12500,473700,350,1802
259,8827857,2022-11-26,15.5,False,380700,1,202,8711,765,588,1090,6953,114600,1005,204
260,12598849,2022-09-30,15.14,False,369799,1,96,160,178,10,124,1012,14100,33,18
261,411869738,2022-11-04,10.06,False,233800,1,63,171,8550,1057,11700,40800,512900,867,5899
262,13309001,2022-11-30,10.44,False,391200,1,156,0,132,21,999,8827,183700,99,140
263,271644025,2022-12-01,9.81,True,474799,1,211,727,849,36,3176,18900,91300,234,245
264,595506,2022-11-24,10.4,False,372299,1,540,311,332,43,2560,1651,38300,87,255
265,488734970,2022-12-01,13.7,True,367000,1,863,38,32,25,648,362,141100,14,4
266,13558933,2022-12-01,34.03,False,341800,1,2896,72,5,2,135,866,16100,20,138
267,67390259,2022-12-01,12.18,False,176100,1,1744,7705,384,296,152,1198,19800,236,34
268,1417,2020-04-01,11.79,False,232300,1,15,7684,66800,36400,37800,32100,1867100,14400,9035
269,6265316,2022-11-29,10.03,False,418400,1,3559,1180,35,43,53,489,17800,83,35
270,670456816,2022-11-30,9.41,True,171200,1,106,0,892,161,4838,11700,143200,236,3021
271,8536064,2022-12-01,11.06,False,267500,1,499,284,96,127,324,525,10700,34,7
272,392979,2022-11-17,10.45,False,247000,1,268,5923,981,184,948,2259,60900,328,268
273,2490227,2022-12-02,10.2,False,319400,1,9713,2863,60,123,26,423,15000,39,30
274,10949920,2022-11-26,10.02,False,482500,1,302,720,497,144,745,7472,65700,169,481
275,483246073,2022-12-01,35.12,False,363600,1,2277,28700,1248,499,218,5302,55000,180,34
276,12362451,2022-12-01,10.69,False,392600,1,644,1787,76,9,242,1261,5448,24,26
277,6927351,2022-11-18,13.21,True,358600,1,268,564,397,136,436,3112,41500,112,446
278,296426733,2022-11-27,10.36,False,497700,1,297,2422,72,23,25,664,5694,28,3
279,389295398,2022-02-13,10.21,True,335000,1,71,4737,2034,120,768,4582,68600,444,289
280,1867191,2022-11-25,10.61,False,454900,1,1105,831,49,10,27,726,2411,8,2
281,27664707,2022-11-19,12.67,False,418200,1,249,167,703,186,4504,7207,227800,107,631
282,301570,2022-03-18,9.84,False,433800,1,24,3179,12900,650,23000,26200,290900,532,1650
283,396643338,2022-11-23,10.63,True,368100,1,51,39,312,112,6720,26100,319500,333,305
284,13745285,2022-11-21,10.91,True,412800,1,109,264,2710,717,7178,16100,229300,269,417
285,13895395,2022-11-25,10.19,True,313400,1,454,3106,6335,931,1893,7368,49900,219,135
286,387636363,2022-11-20,10.89,True,466200,1,310,3717,2783,594,1225,9998,103300,591,380
287,7518140,2022-11-22,10.83,False,180900,1,104,114,56500,3769,51600,181200,2574000,1362,32000
288,42448991,2022-11-26,15.82,True,211400,1,154,110,4094,552,5380,48200,683400,480,502
289,394201823,2022-08-12,10.12,False,297800,1,51,258,6605,1090,9443,34600,467000,807,5172
290,470803890,2022-12-01,10.24,False,312700,1,1176,69,55,18,4820,730,353700,9,3
291,94834254,2022-12-01,10.52,False,380300,1,649,3627,1008,691,682,12100,174400,541,263
292,7304857,2022-11-19,10.92,False,432299,1,524,662,5295,416,4614,15700,237399,295,1415
293,33114953,2022-12-02,16.99,False,478600,1,13700,158,1,1,9,83,685,4,8
294,25974255,2022-10-28,11.53,False,436100,1,437,3428,1235,149,462,3300,30700,178,47
295,200833184,2022-09-11,11.52,True,149100,1,4851,136,31,49,178,1306,69800,269,287
296,16547335,2022-05-03,9.89,True,487400,1,52,1365,30600,1666,32100,50599,406900,1388,2996
297,427652006,2022-11-19,10.65,False,181900,1,102,85,16500,473,25200,60800,418600,551,3608
298,440454918,2022-11-19,10.08,False,349799,1,86,271,7688,457,8217,19000,210700,321,833
299,3368213,2022-11-25,14.85,False,342200,1,141,103,5837,1613,7078,60000,629600,644,1437
300,20303408,2022-11-16,12.98,False,210600,1,1712,2813,352,413,528,2014,16400,135,139
301,3360633,2022-11-27,9.91,False,407000,1,308,2691,2312,240,586,4902,58800,201,41
302,16968953,2022-11-30,12.4,False,236500,1,1387,0,119,19,200,1016,5066,44,31
303,10278125,2020-12-11,10.8,True,496300,1,32,2074,9891,978,10900,18100,376500,724,641
304,48421904,2022-10-28,9.73,False,370900,1,137,100,9146,397,4942,19700,216200,369,5085
305,6249909,2022-11-27,14.22,False,297300,1,96,505,13300,538,12200,59600,802400,489,2930
306,39662897,2022-11-28,9.47,False,467900,1,434,1678,55,272,207,2563,43600,77,73
307,13371339,2022-12-01,18.4,False,202300,1,612,11500,330,808,1075,16700,309100,511,381
308,11632773,2022-11-30,10.86,False,399000,1,192,233,1028,282,1776,15600,361599,242,733
309,2859372,2022-11-26,13.41,True,438200,1,323,4030,1434,1148,1175,5435,80000,783,409
310,406868,2022-11-15,10.23,False,306300,1,177,1236,1292,88,2157,8801,97200,159,590
311,346342151,2022-10-27,13.79,False,418300,1,201,3580,81500,2437,18300,102400,753900,1720,2991
