"","idx","id","uptime","ifans","gender","num_fans","fans_cat","num_videos","num_charge","av_coin","av_danmu","av_star","av_like","av_play","av_comment","av_share"
"1019",1018,"434378423",0.994524639123942,0.0820532963966013,"0",0.0439686795851854,"3",0.00343692870201097,0,0.00356600729098189,0.00505434782608696,0.0520416333066453,0.0152364523322489,0.034606175305445,0.00825554416446339,0.00852288488210818
"1020",1019,"59905809",0.990044798407168,0.152922205453681,"0",0.061038722405917,"3",0.00303473491773309,0.0246585365853659,0.12609812944481,0.0890625,0.311248999199359,0.227044393640027,0.313075079486299,0.108527131782946,0.689320388349515
"1021",1020,"3670216",0.998506719761075,0.420623927559902,"0",0.131795695574054,"3",0.0259963436928702,0.133333333333333,0.00747026833203849,0.97554347826087,0.0202161729383507,0.0312049830812292,0.071730368691331,0.159787046529614,0.01624826629681
"1022",1021,"285571498",0.995022399203584,0.0975791279899113,"0",0.0409969908988186,"3",0.00612431444241316,0.0684878048780488,0.0135660072909819,0.0557880434782609,0.0114011208967174,0.0517841459478729,0.0845770175324921,0.0269968884332452,0.0350901525658807
"1023",1022,"168598",0.995520159283225,0.324243865125799,"0",0.146779636615751,"3",0.0145338208409506,0.302439024390244,0.0236060479292416,0.201086956521739,0.0410328262610088,0.0399202023280319,0.0751161910098178,0.0435259626971708,0.0299167822468793
"1024",1023,"396848107",0.99701343952215,0.105021603853549,"1",0.0683388946928245,"3",0.00329067641681901,0.00708130081300813,0.00615550110559971,0.079633152173913,0.0170036028823058,0.0277188953825082,0.0395575659083648,0.0582204715912157,0.0518169209431345
"1025",1024,"33683045",0.598307615729219,0.124888879700647,"0",0.104363812361657,"3",0.00753199268738574,0.0483577235772358,0.0040207972270364,0.0707065217391304,0.00459367493995196,0.0196221755661238,0.0549885260324417,0.0348207701577367,0.0050624133148405
"1026",1025,"24478119",0.996515679442509,0.0737218581381406,"1",0.0548964431609486,"3",0.00553930530164534,0.0220569105691057,0.0105181378115102,0.0237771739130435,0.0262209767814251,0.0809098463984778,0.12582112745636,0.0155218619039911,0.0298335644937587
"1027",1026,"453972",0.99701343952215,0.0629509416799322,"1",0.0451739302157517,"3",0.00310786106032907,0.0297154471544715,0.00343931154007052,0.0280298913043478,0.00633306645316253,0.00927636691185483,0.0247708109156814,0.0451267109120668,0.0152080443828017
"1028",1027,"431313625",0.999004479840717,0.0733290608008931,"0",0.0324489461515803,"3",0.0122669104204753,0.000813008130081301,0.000433275563258232,0.000543478260869565,0.0139651721377102,0.0140556806923595,0.013676999292498,0.0059353585496142,0.0152843273231623
"1029",1028,"57863910",0.999004479840717,0.172438031051663,"0",0.111107532982193,"3",0.0440585009140768,0.0101056910569106,0.000338851371541266,0.0113451086956522,0.00175740592473979,0.00764577750438853,0.0197969480407362,0.0282199320131657,0.0150485436893204
"1030",1029,"43645887",0.998008959681434,0.0603667486717248,"0",0.0411580067001516,"3",0.0182815356489945,0.0139837398373984,0.056295942150242,0.0843885869565217,0.0800640512409928,0.0657847239637042,0.11092201110355,0.0837245274195579,0.0908460471567268
"1031",1030,"46708782",0.997511199601792,0.106716834466933,"0",0.0562579738339851,"3",0.00707495429616088,0.027739837398374,0.0152393473973585,0.042758152173913,0.0232185748598879,0.040988519526027,0.0654905678256242,0.0126261263691793,0.0160679611650485
"1032",1031,"946974",0.999004479840717,0.191953856649645,"0",0.120451185218371,"3",0.00987202925045704,0.0598130081300813,0.0214546106496145,0.0906657608695652,0.0260208166533227,0.0467236960626326,0.0745468934518421,0.0424827784672386,0.0579056865464632
"1033",1032,"37961599",0.98456943753111,0.0933203779123855,"0",0.0368011085464346,"3",0.00340036563071298,0.122764227642276,0.0755991155202295,0.141304347826087,0.060646517213771,0.0615676823926707,0.0866819203455337,0.0587240777711829,0.156033287101248
